1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000133961,NUMB,Plasma membrane,CAB011478,http://images.proteinatlas.org/11478/32627_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000169855,ROBO1,Plasma membrane,CAB013524,http://images.proteinatlas.org/13524/33705_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000169855,ROBO1,Plasma membrane,CAB013524,http://images.proteinatlas.org/13524/33705_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000169855,ROBO1,Plasma membrane,CAB013524,http://images.proteinatlas.org/13524/33705_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_2_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000044115,CTNNA1,Plasma membrane,CAB021089,http://images.proteinatlas.org/21089/48169_A_9_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_1_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_3_1.jpg,Stomach 2,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_4_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_5_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_6_1.jpg,Stomach 1,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_7_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
ENSG00000197879,MYO1C,Plasma membrane,CAB037023,http://images.proteinatlas.org/37023/80230_A_8_2.jpg,Duodenum,cytoplasmic/membranous,0,0,0,0,1
